Produto;Mês;Loja;Preço
Adesivo 4;Mai;Bairro;R$28,00
Isolante 10;Jan;Centro;R$10,00
Isolante 7;Mai;Bairro;R$10,00
Isolante 10;Nov;Centro;R$10,00
Adesivo 5;Mar;Bairro;R$28,00
Segurança 8;Fev;Bairro;R$40,00
Isolante 8;Jul;Centro;R$10,00
Isolante 7;Dez;Centro;R$10,00
Segurança 8;Jul;Bairro;R$40,00
Isolante 3;Mai;Bairro;R$10,00
Segurança 2;Jul;Bairro;R$40,00
Segurança 8;Set;Bairro;R$40,00
Adesivo 6;Dez;Centro;R$28,00
Isolante 10;Ago;Bairro;R$10,00
Segurança 1;Set;Centro;R$48,00
Segurança 8;Mai;Centro;R$40,00
Isolante 10;Nov;Bairro;R$10,00
Segurança 1;Out;Centro;R$48,00
Segurança 8;Out;Centro;R$40,00
Isolante 6;Out;Bairro;R$10,00
Segurança 8;Dez;Centro;R$40,00
